PRCP       046037 18920101 20111231 TIBOOBURRA POST OFFICE                      
19480701 19480731     0.0
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031     0.0
19481101 19481130     3.0
19481201 19481231    60.4
19490101 19490131     1.5
19490201 19490228    77.5
19490301 19490331   398.4
19490401 19490430    18.8
19490501 19490531    32.5
19490601 19490630     6.4
19490701 19490731     4.3
19490801 19490831     1.5
19490901 19490930    35.2
19491001 19491031    39.3
19491101 19491130    20.1
19491201 19491231    20.1
19500101 19500131    35.9
19500201 19500228    25.7
19500301 19500331    50.5
19500401 19500430     4.6
19500501 19500531    35.5
19500601 19500630    11.1
19500701 19500731    11.2
19500801 19500831     3.0
19500901 19500930     5.0
19501001 19501031    28.7
19501101 19501130    44.2
19501201 19501231    58.7
19510101 19510131     8.9
19510201 19510228     4.3
19510301 19510331     0.0
19510401 19510430     0.0
19510501 19510531     3.3
19510601 19510630    35.0
19510701 19510731     0.0
19510801 19510831     8.3
19510901 19510930    19.1
19511001 19511031    12.7
19511101 19511130    14.2
19511201 19511231     1.3
19520101 19520131     5.6
19520201 19520229     2.5
19520301 19520331    38.2
19520401 19520430    13.2
19520501 19520531     8.6
19520601 19520630    19.6
19520701 19520731     6.3
19520801 19520831    36.9
19520901 19520930     0.0
19521001 19521031    83.2
19521101 19521130     6.1
19521201 19521231     0.0
19530101 19530131    56.4
19530201 19530228    16.0
19530301 19530331     0.0
19530401 19530430     7.2
19530501 19530531    11.2
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831    14.3
19530901 19530930     8.7
19531001 19531031    36.4
19531101 19531130     1.3
19531201 19531231     4.1
19540101 19540131    13.0
19540201 19540228   133.9
19540301 19540331     0.0
19540401 19540430     8.0
19540501 19540531     0.0
19540601 19540630     7.3
19540701 19540731    31.3
19540801 19540831     9.1
19540901 19540930     0.5
19541001 19541031    60.6
19541101 19541130    10.9
19541201 19541231    39.7
19550101 19550131    27.2
19550201 19550228    81.3
19550301 19550331    20.8
19550401 19550430    62.7
19550501 19550531    71.6
19550601 19550630     8.4
19550701 19550731    31.5
19550801 19550831    24.9
19550901 19550930     5.8
19551001 19551031    65.5
19551101 19551130     9.9
19551201 19551231     3.6
19560101 19560131    19.8
19560201 19560229    70.9
19560301 19560331   254.3
19560401 19560430    24.3
19560501 19560531    29.3
19560601 19560630    33.0
19560701 19560731    73.8
19560801 19560831     0.0
19560901 19560930     6.6
19561001 19561031    26.4
19561101 19561130     0.0
19561201 19561231     0.0
19570101 19570131     1.5
19570201 19570228    39.6
19570301 19570331     2.1
19570401 19570430     4.4
19570501 19570531     0.0
19570601 19570630    29.4
19570701 19570731     9.7
19570801 19570831     6.9
19570901 19570930     0.0
19571001 19571031     4.3
19571101 19571130     2.3
19571201 19571231     7.4
19580101 19580131     7.1
19580201 19580228    24.1
19580301 19580331    22.4
19580401 19580430    11.2
19580501 19580531    25.1
19580601 19580630     4.8
19580701 19580731    14.0
19580801 19580831    58.4
19580901 19580930     5.4
19581001 19581031    49.0
19581101 19581130    51.7
19581201 19581231     7.6
19590101 19590131    14.5
19590201 19590228     0.0
19590301 19590331    20.3
19590401 19590430     0.0
19590501 19590531    24.9
19590601 19590630     2.5
19590701 19590731     3.8
19590801 19590831    24.4
19590901 19590930     8.9
19591001 19591031    53.3
19591101 19591130     2.8
19591201 19591231     3.6
19600101 19600131   101.1
19600201 19600229    40.1
19600301 19600331     0.3
19600401 19600430     3.3
19600501 19600531    12.4
19600601 19600630     0.3
19600701 19600731    28.1
19600801 19600831    50.5
19600901 19600930     8.2
19601001 19601031     2.0
19601101 19601130    22.1
19601201 19601231    10.7
19610101 19610131    18.6
19610201 19610228     0.0
19610301 19610331     3.0
19610401 19610430    59.4
19610501 19610531     0.0
19610601 19610630     0.5
19610701 19610731     9.1
19610801 19610831     3.8
19610901 19610930     0.0
19611001 19611031     0.0
19611101 19611130    29.5
19611201 19611231     1.0
19620101 19620131    84.9
19620201 19620228     0.0
19620301 19620331    16.7
19620401 19620430     7.9
19620501 19620531    14.7
19620601 19620630     6.9
19620701 19620731    38.1
19620801 19620831     4.8
19620901 19620930     1.3
19621001 19621031     1.3
19621101 19621130     1.0
19621201 19621231   105.6
